ID,Timestamp,Canvas Width,Canvas Height,Num Polygons,Num Circles,Initial Area,Optimized Area,Iterations,Resolution,Execution Time (s)
A_1_1_1764712023,2025-12-02 18:47:06,100,100,1,0,6340.00,9056.41,0,30,0.01
M_1_1_1764712023,2025-12-02 18:47:45,100,100,1,0,6340.00,9053.33,14,30,38.71
A_1_2_1764712065,2025-12-02 18:47:48,100,100,1,0,5743.33,8735.59,0,30,0.01
M_1_2_1764712065,2025-12-02 18:48:38,100,100,1,0,5743.33,8720.00,18,30,50.12
A_1_3_1764712118,2025-12-02 18:48:42,100,100,0,1,8883.33,8906.47,0,30,0.01
M_1_3_1764712118,2025-12-02 18:49:27,100,100,0,1,8883.33,8900.00,11,30,44.11
A_1_4_1764712167,2025-12-02 18:49:30,100,100,1,0,7533.33,8500.80,0,30,0.01
M_1_4_1764712167,2025-12-02 18:50:18,100,100,1,0,7533.33,8500.00,18,30,47.61
A_1_5_1764712218,2025-12-02 18:50:22,100,100,1,0,6300.00,9218.92,0,30,0.02
M_1_5_1764712218,2025-12-02 18:50:54,100,100,1,0,6300.00,9170.00,9,30,31.81
A_1_6_1764712254,2025-12-02 18:50:57,100,100,1,0,6900.00,7806.93,0,30,0.01
M_1_6_1764712254,2025-12-02 18:51:39,100,100,1,0,6900.00,7800.00,18,30,42.03
A_1_7_1764712299,2025-12-02 18:51:43,100,100,1,0,7240.00,9158.03,0,30,0.01
M_1_7_1764712299,2025-12-02 18:52:13,100,100,1,0,7240.00,9143.33,11,30,30.19
A_1_8_1764712333,2025-12-02 18:52:17,100,100,1,0,4230.00,8092.93,0,30,0.01
M_1_8_1764712333,2025-12-02 18:52:59,100,100,1,0,4230.00,8090.00,19,30,42.20
A_1_9_1764712379,2025-12-02 18:53:04,100,100,0,1,6380.00,7997.53,0,30,0.01
M_1_9_1764712379,2025-12-02 18:53:59,100,100,0,1,6380.00,7986.67,15,30,55.28
A_1_10_1764712439,2025-12-02 18:54:03,100,100,1,0,7710.00,8354.51,0,30,0.01
M_1_10_1764712439,2025-12-02 18:54:45,100,100,1,0,7710.00,8343.33,16,30,42.68
A_1_11_1764712485,2025-12-02 18:54:49,100,100,1,0,5573.33,9496.08,0,30,0.01
